arg(a2,0.69)
arg(a51,0.22)
arg(a37,0.33)
arg(a47,0.67)
arg(a41,0.37)
arg(a4,0.60)
arg(a17,0.84)
arg(a22,0.54)
arg(a21,0.87)
arg(a46,0.32)
arg(a13,0.15)
arg(a57,0.08)
arg(a56,0.01)
arg(a50,0.97)
arg(a69,0.43)
arg(a49,0.19)
arg(a0,0.90)
arg(a53,1.00)
arg(a68,0.68)
arg(a55,0.52)
arg(a67,0.54)
arg(a8,0.09)
arg(a5,0.29)
arg(a54,0.64)
arg(a38,0.35)
arg(a58,0.85)
arg(a24,0.72)
arg(a20,0.02)
arg(a28,0.18)
arg(a42,0.88)
arg(a39,0.98)
arg(a63,0.59)
arg(a23,0.70)
arg(a9,0.06)
arg(a7,0.96)
arg(a27,1.00)
arg(a62,0.76)
arg(a14,0.53)
arg(a36,0.29)
arg(a45,0.13)
arg(a26,0.64)
arg(a65,0.02)
arg(a12,0.30)
arg(a18,0.80)
arg(a15,0.14)
arg(a16,0.34)
arg(a48,0.28)
arg(a31,0.31)
arg(a52,0.65)
arg(a19,0.09)
arg(a61,0.18)
arg(a40,0.92)
arg(a3,0.25)
arg(a30,0.52)
arg(a6,0.68)
arg(a32,0.21)
arg(a10,0.67)
arg(a59,0.65)
arg(a29,0.51)
arg(a60,0.76)
arg(a43,0.70)
arg(a1,0.42)
arg(a25,0.58)
arg(a11,0.90)
arg(a33,0.16)
arg(a34,0.39)
arg(a44,0.12)
arg(a66,0.32)
arg(a64,0.05)
arg(a35,0.19)
att(a2,a38)
sup(a8,a43)
att(a51,a47)
sup(a5,a26)
att(a37,a22)
sup(a54,a54)
att(a47,a46)
sup(a38,a41)
att(a41,a30)
sup(a58,a51)
att(a4,a33)
sup(a24,a6)
att(a17,a19)
sup(a20,a8)
att(a22,a41)
sup(a28,a1)
att(a21,a48)
sup(a42,a39)
att(a46,a39)
sup(a39,a26)
att(a13,a22)
sup(a63,a8)
att(a57,a19)
sup(a23,a33)
att(a56,a34)
sup(a9,a66)
att(a50,a56)
sup(a7,a64)
att(a69,a69)
sup(a27,a27)
att(a49,a1)
sup(a62,a3)
att(a0,a38)
sup(a14,a27)
att(a53,a10)
sup(a36,a16)
att(a68,a59)
sup(a45,a23)
att(a55,a67)
sup(a26,a15)
att(a67,a44)
sup(a65,a3)
